"filename", "language", "C#", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\UpdateGroup\UpdateGroupCommandHandler.cs", "C#", 51, 0, 0, 0, 0, 0, 9, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQuery.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQueryHandler.cs", "C#", 58, 0, 0, 0, 0, 0, 8, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupMembers\GetGroupMembersQuery.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupMembers\GetGroupMembersQueryHandler.cs", "C#", 53, 0, 0, 0, 0, 0, 7, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupRules\GetGroupRulesQuery.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupRules\GetGroupRulesQueryHandler.cs", "C#", 33, 0, 0, 0, 0, 0, 6, 39
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetReportedContents\GetReportedContentsQuery.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetReportedContents\GetReportedContentsQueryHandler.cs", "C#", 71, 0, 0, 0, 0, 0, 8, 79
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\CreateComment\CreateCommentCommand.cs", "C#", 11, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\CreateComment\CreateCommentCommandHandler.cs", "C#", 93, 0, 0, 0, 0, 0, 13, 106
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\CreatePost\CreatePostCommandHandler.cs", "C#", 28, 0, 0, 0, 0, 0, 5, 33
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\MarkLatestFeedAsSeen\MarkLatestFeedAsSeenCommand.cs", "C#", 9, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\MarkLatestFeedAsSeen\MarkLatestFeedAsSeenCommandHandler.cs", "C#", 22, 0, 0, 0, 0, 0, 5, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\ReactToComment\ReactToCommentCommand.cs", "C#", 10, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\ReactToComment\ReactToCommentCommandHandler.cs", "C#", 59, 0, 0, 0, 0, 0, 9, 68
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\ReactToPost\ReactToPostCommand.cs", "C#", 10, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\ReactToPost\ReactToPostCommandHandler.cs", "C#", 66, 0, 0, 0, 0, 0, 11, 77
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\SavePost\SavePostCommand.cs", "C#", 8, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\SavePost\SavePostCommandHandler.cs", "C#", 52, 0, 0, 0, 0, 0, 9, 61
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\UnsavePost\UnsavePostCommand.cs", "C#", 8, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\UnsavePost\UnsavePostCommandHandler.cs", "C#", 40, 0, 0, 0, 0, 0, 7, 47
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetComments\GetCommentsQuery.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetComments\GetCommentsQueryHandler.cs", "C#", 98, 0, 0, 0, 0, 0, 15, 113
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetFeedPosts\GetFeedPostsQuery.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetFeedPosts\GetFeedPostsQueryHandler.cs", "C#", 23, 0, 0, 0, 0, 0, 6, 29
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostMediasByGroup\GetPostMediasByGroupQuery.cs", "C#", 11, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostMediasByGroup\GetPostMediasByGroupQueryHandler.cs", "C#", 57, 0, 0, 0, 0, 0, 9, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostMediasByUser\GetPostMediasByUserQuery.cs", "C#", 11, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostMediasByUser\GetPostMediasByUserQueryHandler.cs", "C#", 57, 0, 0, 0, 0, 0, 9, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPost\GetPostQueryHandler.cs", "C#", 19, 0, 0, 0, 0, 0, 2, 21
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostsByGroup\GetPostsByGroupQuery.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostsByGroup\GetPostsByGroupQueryHandler.cs", "C#", 18, 0, 0, 0, 0, 0, 2, 20
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostsByPerson\GetPostsByPersonQuery.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostsByPerson\GetPostsByPersonQueryHandler.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\obj\Debug\net10.0\Application.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, -1, 0, -1
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\CommentReaction.cs", "C#", 26, 0, 0, 0, 0, 0, 6, 32
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\Group.cs", "C#", 98, 0, 0, 0, 0, 5, 19, 122
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\GroupJoinRequest.cs", "C#", 29, 0, 0, 0, 0, 1, 7, 37
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\GroupRequest.cs", "C#", -29, 0, 0, 0, 0, -1, -7, -37
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\GroupRule.cs", "C#", 27, 0, 0, 0, 0, 1, 6, 34
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\InterestGroupScore.cs", "C#", -48, 0, 0, 0, 0, 0, -10, -58
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\InterestRelationshipScore.cs", "C#", -52, 0, 0, 0, 0, 0, -11, -63
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\Post.cs", "C#", 29, 0, 0, 0, 0, 3, 7, 39
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\PostComment.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\PostReaction.cs", "C#", 26, 0, 0, 0, 0, 0, 6, 32
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\Reaction.cs", "C#", -38, 0, 0, 0, 0, -1, -8, -47
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\ReportedGroupContent.cs", "C#", 52, 0, 0, 0, 0, 6, 15, 73
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\User.cs", "C#", -4, 0, 0, 0, 0, 0, -2, -6
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\GroupContentType.cs", "C#", 8, 0, 0, 0, 0, 1, 1, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\GroupReportReason.cs", "C#", 14, 0, 0, 0, 0, 1, 1, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\GroupReportStatus.cs", "C#", 9, 0, 0, 0, 0, 4, 3, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\PostApprovalStatus.cs", "C#", 10, 0, 0, 0, 0, 5, 4, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\WhoCanApprove.cs", "C#", 8, 0, 0, 0, 0, 3, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\WhoCanJoin.cs", "C#", 8, 0, 0, 0, 0, 3, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\WhoCanPost.cs", "C#", 9, 0, 0, 0, 0, 4, 3, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\obj\Debug\net10.0\Domain.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, -1, 0, -1
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\DependencyInjection.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260528071505_updb13.Designer.cs", "C#", 1332, 0, 0, 0, 0, 2, 549, 1883
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260528071505_updb13.cs", "C#", 177, 0, 0, 0, 0, 3, 22, 202
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260528120902_updb14.Designer.cs", "C#", 1326, 0, 0, 0, 0, 2, 546, 1874
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260528120902_updb14.cs", "C#", 14, 0, 0, 0, 0, 3, 6, 23
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260528121828_updb15.Designer.cs", "C#", 1325, 0, 0, 0, 0, 2, 545, 1872
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260528121828_updb15.cs", "C#", 34, 0, 0, 0, 0, 3, 6, 43
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260529071128_updb16.Designer.cs", "C#", 1239, 0, 0, 0, 0, 2, 507, 1748
