"filename", "language", "C#", "JSON", "JavaScript JSX", "JavaScript", "PostCSS", "Dotenv", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupDetail\GetGroupDetailQueryHandler.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 8, 57
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupInsights\GetGroupInsightsQuery.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupInsights\GetGroupInsightsQueryHandler.cs", "C#", 113, 0, 0, 0, 0, 0, 9, 20, 142
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQuery.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQueryHandler.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroups\GetGroupsQuery.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroups\GetGroupsQueryHandler.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 7, 34
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\CreatePost\CreatePostCommand.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Commands\CreatePost\CreatePostCommandHandler.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPost\GetPostQueryHandler.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 6, 37
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostsByGroup\GetPostsByGroupQuery.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostsByGroup\GetPostsByGroupQueryHandler.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 8, 51
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Posts\Queries\GetPostsByPerson\GetPostsByPersonQueryHandler.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\CreateReel\CreateReelCommand.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\CreateReel\CreateReelCommandHandler.cs", "C#", 97, 0, 0, 0, 0, 0, 0, 16, 113
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\DeleteReel\DeleteReelCommand.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\DeleteReel\DeleteReelCommandHandler.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 7, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\MarkStoryAsSeen\MarkStoryAsSeenCommand.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\MarkStoryAsSeen\MarkStoryAsSeenCommandHandler.cs", "C#", 51, 0, 0, 0, 0, 0, 0, 9, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\ToggleLikeReel\ToggleLikeReelCommand.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\ToggleLikeReel\ToggleLikeReelCommandHandler.cs", "C#", 59, 0, 0, 0, 0, 0, 0, 11, 70
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Commands\ToggleLikeReel\ToggleLikeReelResponse.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetRecommendedReels\GetRecommendedReelsQuery.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetRecommendedReels\GetRecommendedReelsQueryHandler.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 10, 68
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetReelById\GetReelByIdQuery.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetReelById\GetReelByIdQueryHandler.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 8, 57
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetReelComments\GetReelCommentsQuery.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetReelComments\GetReelCommentsQueryHandler.cs", "C#", 84, 0, 0, 0, 0, 0, 0, 14, 98
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetReelsByUser\GetReelsByUserQuery.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Reels\Queries\GetReelsByUser\GetReelsByUserQueryHandler.cs", "C#", 62, 0, 0, 0, 0, 0, 0, 12, 74
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\CreateStory\CreateStoryCommand.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\CreateStory\CreateStoryCommandHandler.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 8, 55
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\DeleteStory\DeleteStoryCommand.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 4, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\DeleteStory\DeleteStoryCommandHandler.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 8, 44
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\ToggleStoryLike\ToggleStoryLikeCommand.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\ToggleStoryLike\ToggleStoryLikeCommandHandler.cs", "C#", 63, 0, 0, 0, 0, 0, 0, 13, 76
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\ToggleStoryLike\ToggleStoryLikeResponse.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Queries\GetStoriesByUserId\GetStoriesByUserIdQuery.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Queries\GetStoriesByUserId\GetStoriesByUserIdQueryHandler.cs", "C#", 54, 0, 0, 0, 0, 0, 0, 11, 65
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Queries\GetStoryTimeline\GetStoryTimelineQuery.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Queries\GetStoryTimeline\GetStoryTimelineQueryHandler.cs", "C#", 94, 0, 0, 0, 0, 0, 0, 20, 114
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\GetPersonalInfo\GetPersonalInfoQueryHandler.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 8, 52
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\obj\Application.csproj.nuget.dgspec.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\obj\Debug\net10.0\Application.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\obj\project.assets.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Common\BaseEntity.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 2, 3
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\FriendRequest.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\Group.cs", "C#", -3, 0, 0, 0, 0, 0, -1, 0, -4
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\Post.cs", "C#", 0, 0, 0, 0, 0, 0, -1, -2, -3
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\PostComment.cs", "C#", -1, 0, 0, 0, 0, 0, -1, -1, -3
