"filename", "language", "XML", "C#", "JavaScript", "PostCSS", "JSON", "Properties", "JavaScript JSX", "log", "ASP.NET Razor", "Dotenv", "Markdown", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RevokeAdminRole\RevokeAdminRoleCommand.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RevokeAdminRole\RevokeAdminRoleCommandHandler.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UnblockUser\UnblockUserCommand.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UnblockUser\UnblockUserCommandHandler.cs", "C#", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UpdateConversation\UpdateConversationCommand.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UpdateConversation\UpdateConversationCommandHandler.cs", "C#", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 140
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UploadConversationImage\UploadConversationImageCommand.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UploadConversationImage\UploadConversationImageCommandHandler.cs", "C#", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 112
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationMembers\GetConversationMembersQuery.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationMembers\GetConversationMembersQueryHandler.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversations\GetConversationsQuery.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversations\GetConversationsQueryHandler.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\SearchConversationsAndFriends\SearchConversationsAndFriendsQueryHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Conversations\ConversationDetailDto.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Conversations\ConversationResponse.cs", "C#", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -58
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\AttachmentDto.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MemberMessageDto.cs", "C#", 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -22
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MessageDto.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 40
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MessageReactionDto.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MessagesAroundDto.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Notifications\NotificationDto.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostDto.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\SavedPostDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\TagDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchGroupDto.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchPostDto.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchReelDto.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchUserDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Stories\StoryTimelineUserDto.cs", "C#", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\BirthdayDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SendFriendRequest\SendFriendRequestCommandHandler.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Events\FriendRequestCreated\FriendRequestCreatedDomainEventHandler.cs", "C#", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 89
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Events\FriendshipCreated\FriendshipCreatedDomainEventHandler.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReviewGroupJoinRequest\ReviewGroupJoinRequestCommandHandler.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Events\GroupJoinRequestAccepted\GroupJoinRequestAcceptedDomainEventHandler.cs", "C#", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 93
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\ForwardMessage\ForwardMessageCommandHandler.cs", "C#", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\MarkMessagesAsSeen\MarkMessagesAsSeenCommand.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\MarkMessagesAsSeen\MarkMessagesAsSeenCommandHandler.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\ReactToMessage\ReactToMessageCommand.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\ReactToMessage\ReactToMessageCommandHandler.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\SendMessage\SendMessageCommand.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\SendMessage\SendMessageCommandHandler.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 3, 38
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\TogglePinMessage\TogglePinMessageCommand.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\TogglePinMessage\TogglePinMessageCommandHandler.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\UpdateMessage\UpdateMessageCommand.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\UpdateMessage\UpdateMessageCommandHandler.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\GetFilesByConversationId\GetFilesByConversationIdQuery.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\GetFilesByConversationId\GetFilesByConversationIdQueryHandler.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\GetMessagesAround\GetMessagesAroundQueryHandler.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\GetPinnedMessages\GetPinnedMessagesQuery.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\GetPinnedMessages\GetPinnedMessagesQueryHandler.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\SearchMessages\SearchMessagesQuery.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\SearchMessages\SearchMessagesQueryHandler.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0
